alert_id,machine_id,equipment_category,alert_level,alert_priority,health_score,problem,probable_cause,recommended_action,observed_pattern,alert_status,source_model,generated_at
ALT-0173,CNV-014,Conveyor,Low Risk,Observe,68.82,Possible belt misalignment or roller wear,"Abnormal torque or speed pattern may indicate belt tension issue, roller wear, or material blockage","Inspect belt tension, roller condition, drive motor load, and material flow","very low conveyor drive load, very high conveyor speed variation, high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0174,PMP-009,Pump,Low Risk,Observe,68.88,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0175,GRB-003,Gearbox,Low Risk,Observe,68.93,Possible gear wear or lubrication issue,"Abnormal torque or temperature pattern may indicate gear wear, misalignment, or insufficient lubrication","Inspect oil level, gear teeth condition, vibration, and shaft alignment","very low mechanical load, high shaft speed, high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0176,CMP-006,Compressor,Low Risk,Observe,69.06,Possible compressor overheating or pressure instability,"Abnormal temperature, torque, or speed pattern may suggest lubrication issue or unstable compression load","Inspect oil level, filters, discharge pressure, temperature, and vibration","very high torque, low rotational speed, high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0177,CHL-003,Chiller,Low Risk,Observe,69.23,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, very low cooling-side temperature, very low process cooling temperature, high compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0178,CFG-002,Centrifuge,Low Risk,Observe,69.3,Possible centrifuge imbalance or bearing wear,"Abnormal speed or torque pattern may indicate rotor imbalance, bearing wear, or unstable feed load","Inspect rotor balance, bearing condition, vibration, and feed distribution",low operating temperature,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0179,GRB-006,Gearbox,Low Risk,Observe,69.35,Possible gear wear or lubrication issue,"Abnormal torque or temperature pattern may indicate gear wear, misalignment, or insufficient lubrication","Inspect oil level, gear teeth condition, vibration, and shaft alignment",very high operating temperature,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0180,FAN-002,Fan,Low Risk,Observe,69.37,Possible fan imbalance or bearing wear,"Abnormal speed or torque pattern may indicate blade imbalance, bearing wear, or airflow restriction","Inspect fan blades, shaft alignment, bearing condition, and airflow path","low airflow load demand, low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0181,PMP-018,Pump,Low Risk,Observe,69.46,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0182,GRB-011,Gearbox,Low Risk,Observe,69.51,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very high mechanical load, low shaft speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0183,CMP-001,Compressor,Low Risk,Observe,69.52,Possible compressor overheating or pressure instability,"Abnormal temperature, torque, or speed pattern may suggest lubrication issue or unstable compression load","Inspect oil level, filters, discharge pressure, temperature, and vibration","very high torque, very high tool wear, low rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0184,MOT-008,Motor,Low Risk,Observe,69.93,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0185,MOT-004,Motor,Low Risk,Observe,70.0,Possible motor overload or heating issue,Abnormal torque or temperature pattern may indicate load stress or cooling limitation,"Inspect motor temperature, current draw, coupling alignment, and cooling path","very high tool wear, low air temperature, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0186,CNV-004,Conveyor,Low Risk,Observe,70.11,Possible belt misalignment or roller wear,"Abnormal torque or speed pattern may indicate belt tension issue, roller wear, or material blockage","Inspect belt tension, roller condition, drive motor load, and material flow","low conveyor drive load, high conveyor speed variation, very high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0187,PMP-012,Pump,Low Risk,Observe,70.22,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","high torque, low rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0188,TRB-008,Turbine,Low Risk,Observe,70.41,Possible turbine thermal or speed instability,Abnormal speed or temperature pattern may indicate thermal stress or blade wear,"Inspect vibration trend, lubrication system, speed stability, and blade condition","very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0189,CHL-010,Chiller,Low Risk,Observe,70.68,Possible chiller cooling inefficiency,"Abnormal temperature or load pattern may indicate condenser fouling, refrigerant issue, or compressor load stress","Inspect condenser cleanliness, refrigerant condition, cooling water flow, and compressor operation","very low cooling-side temperature, very low process cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0190,MOT-018,Motor,Low Risk,Observe,70.83,Possible motor overload or heating issue,Abnormal torque or temperature pattern may indicate load stress or cooling limitation,"Inspect motor temperature, current draw, coupling alignment, and cooling path","low torque, high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0191,BLW-006,Blower,Low Risk,Observe,70.85,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,very high airflow load demand,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0192,PMP-004,Pump,Low Risk,Observe,71.04,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","high torque, low rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0193,PMP-001,Pump,Low Risk,Observe,71.31,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0194,CMP-013,Compressor,Low Risk,Observe,71.35,Possible compressor overheating or pressure instability,"Abnormal temperature, torque, or speed pattern may suggest lubrication issue or unstable compression load","Inspect oil level, filters, discharge pressure, temperature, and vibration","very high torque, low rotational speed, high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0195,VPM-002,Vacuum Pump,Low Risk,Observe,71.36,Possible vacuum loss or pump wear,"Abnormal torque or temperature pattern may indicate seal leakage, filter restriction, or internal wear","Inspect vacuum level, seals, filters, oil condition, and pump wear","very low vacuum pump load response, high pump operating temperature, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0196,PMP-013,Pump,Low Risk,Observe,71.62,Possible cavitation or pump load issue,"Abnormal torque or speed pattern may suggest suction restriction, impeller blockage, or bearing wear","Inspect suction pressure, impeller condition, seals, and bearing vibration","very high torque, low rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0197,MOT-014,Motor,Low Risk,Observe,71.79,Possible motor overload or heating issue,Abnormal torque or temperature pattern may indicate load stress or cooling limitation,"Inspect motor temperature, current draw, coupling alignment, and cooling path","low torque, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0198,HEX-006,Heat Exchanger,Low Risk,Observe,71.87,Possible fouling or flow restriction,Abnormal temperature pattern may indicate reduced heat transfer efficiency,"Inspect temperature difference, flow restriction, and cleaning requirement","low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0199,CFG-003,Centrifuge,Low Risk,Observe,72.12,Possible centrifuge imbalance or bearing wear,"Abnormal speed or torque pattern may indicate rotor imbalance, bearing wear, or unstable feed load","Inspect rotor balance, bearing condition, vibration, and feed distribution",very high operating temperature,Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0200,HYD-004,Hydraulic System,Low Risk,Observe,72.69,Possible hydraulic pressure instability,"Abnormal torque or temperature pattern may indicate fluid leakage, filter restriction, or pump overload","Inspect pressure, oil level, hoses, seals, filters, and actuator movement","high hydraulic load demand, very low operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
